crown_id,max_height,mean_height,crown_area,crown_diameter
2818.0,0.40185547,0.108779065,1.27249999996915,1.2728697186421771
836.0,4.727051,2.0689082,1.2575000015099063,1.2653453004721436
3082.0,0.32714844,0.07361697,1.4674999998841667,1.3669231989220783
720.0,5.6762695,5.3914037,1.0600000007112977,1.1617374567108203
697.0,5.937256,5.403979,1.5375000005573383,1.3991446675522647
620.0,7.098633,6.8690233,2.0274999992930676,1.606702578590838
712.0,5.7683105,5.22247,2.9849999987555194,1.9495178992381523
1074.0,2.4631348,1.5386107,2.4250000019470455,1.757158472779796
640.0,6.7805176,6.5024557,5.284999998838469,2.594045294987431
1102.0,2.3547363,1.4643284,1.399999998981366,1.3351162351391967
35811.0,0.05126953,0.0066281687,1.2924999993195525,1.2828336254962391
747.0,5.5095215,5.308247,1.7750000012107194,1.5033297021766217
1082.0,2.4233398,1.2823488,2.687499999253487,1.8498192548260655
598.0,7.320801,6.341318,2.985000002880989,1.9495179005853345
1133.0,2.2363281,1.0992824,2.8825000001071026,1.9157538954248465
2805.0,0.40698242,0.16054252,2.0700000001376613,1.6234549139957852
2460.0,0.52124023,0.268168,2.4874999993524387,1.7796582162607002
126910.0,0.030273438,0.008831307,1.1249999997133273,1.1968268410518104
3890.0,0.21166992,0.15089859,1.1475000012730014,1.2087358599811768
266080.0,0.01977539,0.0037764467,1.1100000005163013,1.1888212209215505
4441.0,0.1796875,0.08013839,1.8599999994059904,1.5389040101484843
79308.0,0.032470703,0.010096047,1.580000000259606,1.4183506199145886
2699.0,0.44067383,0.16352683,2.3700000007575737,1.7371176477103984
1650.0,1.079834,0.39655006,3.6125000008454675,2.144662643968104
71040.0,0.03491211,0.015122953,1.5075000001231087,1.3854272315228269
3906.0,0.21044922,0.11972053,1.0324999993693198,1.1465687197617283
4115.0,0.19750977,0.07392645,1.1325000000270662,1.2008096370561963
1341.0,1.6140137,0.6822726,1.9725000001510486,1.5847602349196013
410540.0,0.03564453,0.0050412966,4.584999999595166,2.416154654010225
14212.0,0.084228516,0.027056526,1.5724999999589635,1.4149802769098212
76417.0,0.031982422,0.012900441,1.4550000010963413,1.3610891003110586
477.0,8.187256,6.704547,5.274999998472049,2.5915899746164586
3907.0,0.21044922,0.121339016,1.085000000714208,1.1753573528706107
468.0,8.234863,7.4396305,3.7950000007022755,2.198168345046418
49608.0,0.04296875,0.033763744,1.755000000540458,1.4948362457802338
464.0,8.247559,7.1495028,3.7499999991254303,2.1850968609293555
433.0,8.461182,7.6492257,1.0425000001271836,1.1521077317457522
434.0,8.461182,7.661617,2.622500000056461,1.8273124270742136
1081.0,2.4284668,1.551897,2.6325000004083243,1.830793025449685
2247.0,0.6208496,0.19778654,3.3800000005404596,2.0744998582533056
436.0,8.4375,7.482138,4.087499999761349,2.2813080981755003
445.0,8.364502,7.491928,9.06499999907625,3.3973396167954855
1095.0,2.3725586,0.79018766,4.214999999573921,2.316614918478298
